wavelength,9.99,15.0,20.0,25.0,29.99,35.0,39.99,45.0,50.0,55.01,60.0,65.0,70.0,75.0,80.0,85.01,90.0
290.0,609.908,582.932,550.256,519.262,488.87,458.841,436.288,407.741,375.564,287.609,221.831,208.131,211.77,179.121,161.881,141.112,123.982
291.0,700.658,667.893,633.244,594.679,562.18,529.439,501.519,473.713,428.812,337.002,266.025,251.949,264.721,212.1,190.97,164.444,143.615
292.0,810.182,778.424,736.363,690.465,651.252,612.168,582.845,548.339,505.571,397.838,323.805,301.262,324.528,249.635,221.312,191.789,170.479
293.0,948.432,897.194,854.766,794.798,755.113,704.578,670.712,630.197,585.913,473.149,384.626,364.384,380.04,287.325,257.91,218.576,191.047
294.0,1089.72,1034.88,982.353,916.667,863.1,811.641,769.125,724.686,673.139,560.046,464.865,441.262,435.323,334.427,293.587,250.646,218.081
295.0,1260.03,1191.66,1126.3,1050.25,981.973,922.711,868.79,824.612,771.508,650.278,562.783,522.391,496.944,388.831,336.498,285.078,242.448
296.0,1441.77,1361.54,1275.89,1187.77,1105.69,1037.58,986.117,935.71,881.212,760.357,668.621,621.848,562.027,444.101,379.805,323.149,271.216
297.0,1651.97,1554.61,1455.93,1345.61,1259.29,1172.14,1100.95,1054.61,1003.03,881.726,797.884,744.501,663.202,516.33,435.0,364.996,304.102
298.0,1904.32,1780.89,1649.17,1519.8,1419.69,1323.57,1246.1,1185.62,1140.84,1031.98,946.418,886.607,780.334,590.363,494.905,412.442,337.278
299.0,2178.95,2027.24,1876.39,1715.99,1598.92,1477.27,1386.47,1325.53,1276.55,1176.63,1111.92,1029.79,897.54,675.237,554.236,463.337,379.216
300.0,2503.3,2317.11,2122.16,1931.79,1783.01,1650.46,1551.07,1470.68,1429.91,1346.43,1288.67,1199.65,1017.89,763.597,621.964,516.079,416.881
301.0,2879.92,2640.05,2399.65,2187.21,2001.38,1844.17,1726.67,1642.49,1600.27,1536.24,1485.85,1393.27,1144.54,871.648,698.88,570.237,469.748
302.0,3279.96,2979.83,2705.38,2442.38,2228.44,2050.45,1902.56,1819.19,1778.47,1737.41,1699.64,1578.82,1284.03,1021.59,784.114,634.187,521.018
303.0,3705.91,3346.39,3030.28,2713.79,2467.5,2259.29,2098.53,2001.78,1966.26,1948.65,1932.14,1770.21,1434.8,1190.66,881.55,703.998,577.325
304.0,4127.19,3718.55,3335.96,2986.29,2705.04,2480.97,2290.12,2176.3,2163.17,2161.72,2165.98,1953.72,1577.46,1369.74,980.13,780.413,640.591
305.0,4542.99,4076.23,3650.97,3265.84,2938.95,2681.16,2487.27,2372.48,2362.15,2386.81,2411.67,2184.96,1726.45,1567.68,1087.04,871.562,700.287
306.0,4952.27,4430.99,3958.78,3519.05,3187.17,2884.27,2674.35,2558.74,2556.93,2631.84,2659.97,2429.14,1932.61,1784.22,1194.82,954.699,767.999
307.0,5344.03,4763.89,4245.31,3775.2,3385.87,3080.5,2853.69,2733.6,2758.61,2867.06,2933.77,2677.63,2163.63,1992.59,1317.59,1050.38,835.51
308.0,5694.82,5061.22,4507.72,3987.2,3576.83,3247.11,3016.49,2889.45,2942.92,3100.21,3193.08,2947.99,2341.44,2182.69,1436.04,1131.99,898.808
309.0,6017.76,5363.76,4752.48,4197.03,3773.2,3410.53,3176.37,3052.68,3137.34,3339.03,3459.0,3242.32,2545.64,2375.49,1556.98,1222.15,971.499
310.0,6325.34,5609.74,4966.09,4383.04,3948.44,3568.94,3314.38,3206.21,3318.98,3574.83,3714.09,3481.56,2748.94,2597.0,1672.35,1310.57,1040.83
311.0,6616.15,5876.19,5191.67,4586.85,4107.69,3723.78,3472.02,3354.78,3493.0,3814.12,3998.37,3709.72,2941.49,2824.78,1793.11,1409.84,1109.02
312.0,6900.33,6110.7,5405.27,4770.0,4260.41,3872.36,3593.75,3502.75,3664.72,4047.67,4257.63,3901.83,3132.65,3025.3,1918.62,1511.2,1191.92
313.0,7151.48,6340.72,5609.76,4927.89,4417.32,3999.47,3726.54,3640.57,3851.93,4277.26,4519.91,4068.7,3269.73,3231.64,2047.36,1594.21,1262.66
314.0,7439.46,6574.04,5792.39,5103.57,4572.36,4146.8,3848.84,3783.07,4015.32,4516.99,4780.23,4315.6,3368.11,3460.93,2172.05,1698.26,1337.6
315.0,7719.45,6803.99,6010.08,5279.57,4734.32,4288.54,3982.11,3923.42,4190.69,4735.37,5046.29,4594.49,3492.63,3684.99,2303.46,1797.9,1426.92
316.0,7974.65,7018.11,6174.74,5439.17,4867.01,4415.35,4098.74,4037.97,4354.14,4941.61,5272.78,4863.51,3702.34,3884.49,2432.32,1896.36,1509.57
317.0,8194.92,7210.26,6368.04,5583.56,4994.06,4529.57,4210.34,4155.71,4498.15,5162.12,5520.3,5184.7,3919.17,4101.38,2580.61,1996.68,1597.51
318.0,8423.44,7395.24,6509.45,5720.45,5091.05,4630.94,4319.82,4270.22,4648.01,5357.43,5759.84,5459.49,4173.97,4223.3,2716.31,2091.59,1674.68
319.0,8601.87,7568.39,6654.35,5838.8,5211.35,4725.49,4408.22,4371.46,4783.22,5535.65,5967.26,5694.02,4549.76,4308.71,2842.51,2197.15,1751.06
320.0,8744.67,7690.13,6756.0,5936.02,5278.56,4796.56,4473.66,4457.38,4913.21,5707.61,6151.32,5912.72,5102.55,4346.36,2976.03,2296.97,1821.68
321.0,8902.98,7789.4,6835.15,6004.74,5355.86,4854.35,4553.6,4543.44,5021.85,5873.53,6343.89,6116.24,5633.22,4363.17,3085.52,2400.2,1891.73
322.0,8974.92,7854.61,6913.78,6066.93,5416.97,4906.3,4597.61,4610.95,5127.94,6023.56,6517.33,6271.59,5713.22,4368.1,3188.69,2478.27,1970.03
323.0,9032.19,7904.53,6972.36,6116.11,5459.34,4940.77,4641.09,4669.71,5220.85,6154.04,6671.44,6441.28,5648.3,4403.0,3297.86,2574.91,2040.63
324.0,9059.08,7939.63,6996.39,6132.13,5468.19,4976.53,4691.09,4722.94,5304.02,6290.43,6816.8,6616.55,5549.31,4435.77,3423.46,2674.61,2118.29
325.0,9070.07,7956.34,6988.44,6150.73,5497.18,4979.88,4710.91,4756.56,5389.86,6404.31,6960.29,6796.02,5519.17,4493.21,3551.27,2765.42,2193.1
